HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
焚	? / ?	ə / b'i ̯wən	ə / bjən	ɯ / bɯn	ə / biən	u / bun	u / [b]  u[n]
焞	u / dhur	ə / t'wən	ə / thən	u / thuun	ə / thuən	u / thuun	u / tʰˤ  ur
然	a / nan	a / ȵi ̯an	a / njan	a / njan	a / ȵian	e / njen	a / [n]  a[n]
煁	ə / d(h)ǝm	u / ȡi ̯u ̆m	ə / djəm	u / gljum	ə / ʑiuəm	u / gljum	ə / [d]  [ə]m
煇	? / ?	ə / xi ̯wər	ə / hwjəd	u / qhul	ə / xiuəi	u / qhul	ə / qʷʰ  ər
煌	a / w(h)āŋ	ɑ / g'wɑŋ	a / gwaŋ	a / gʷaaŋ	a / ɣuaŋ	a / gʷaaŋ	a / [ɢ]ʷˤ  aŋ
煒	ə / w(h)ǝjʔ	ə / gi ̯wər	ə / gwjədx	u / ɢulʔ	ə / ɣiuəi	ɯ / ɢʷɯlʔ	ə / [ɢ]ʷ  ə[j]ʔ
照	a / taws	o / ȶi ̯og	a / tjagwh	e / kljews	o / tɕiô	e / tjews	a / t  aw -s
熇	? / ?	o / xo ̆k	a / hakw	a / qhaawg	o / xôk	a / qhaawɢ	? / ?
熏	u / hun	ə / xi ̯wən	ə / hjən	u / qhun	ə / xiuən	u / qhun	u / qʰ  u[n]
熙	ə / slǝ	ə / xi ̯əg	ə / hjəg	ɯ / qhlɯ	ə / xiə	ɯ / qhlɯ	ə / qʰ (r) ə
熯	a / sŋārʔ n(h)arʔ	ɑ / xɑn	a / hanx	a / n̥haanʔ	a / xan	a / hnaanʔ	a / n  arʔ
熱	e / ŋet	a / ȵi ̯at	a / njat	e / ŋjed	a / ȵiat	e / ŋjed	a / C. n  at
熲	? / ?	e / kiweŋ	i / kwiŋx	e / kʷeeŋʔ	e / kyueŋ	e / kʷeeŋʔ	? / ?
熾	? / ?	ə / ȶʻi ̯əg	ə / thjəgh	ɯ / khljɯɡs	ə / tɕhiək	ɯ / thjɯɡs	ə / tʰ  ək -s
燎	e / r(h)ēws	o / li ̯og	a / ljagw	e / [g]rew	o / liô	e / rew	? / ?
燔	a / b(h)ar	a / b'i ̯wa ̆n	a / bjan	a / ban	a / bian	a / ban	a / [b]  ar
燕	e / ʔēns	a / ʔian	a / ʔian	e / qeen	a / yan	e / qeen	e / ʔˤ  e[n] -s
營	e / weŋ	e / di ̯we ̆ŋ	i / rwjiŋ	e / ɢʷeŋ	e / ʎiueŋ	e / ɢʷeŋ	e / [ɢ]ʷ  eŋ
燠	u / ʔuk	ʊ / ʔʊg	ə / ʔəgwx	u / quuʔ	u / u	u / quuʔ	? / ?
燬	e / hʷejʔ	a / xia	ə / hwjərx	a / m̥halʔ	a / xiai	a / hmralʔ	? / ?
燼	? / ?	e / dzi ̯e ̆n	i / rjinh	i / sljins	e / zien	i / ljins	i / N- ts  i[n]ʔ -s
爛	? / ?	ɑ / lɑn	a / lanh	a / [g]raans	a / lan	a / g·raans	a / [r]ˤ  an -s
爭	e / ćrēŋ	e / tse ̆ŋ	i / tsriŋ	e / skreeŋ	e / tʃeŋ	e / ʔsreeŋ	e / [ts]ˤ r eŋ
爰	a / wan	a / gi ̯wa ̆n	a / gwjan	a / ɢʷan	a / ɣiuan	a / ɢʷan	a / ɢʷ  a[n]
爵	e / ćekʷ	o / tsi ̯ok	a / tsjakw	e / sklewg	o / tsiôk	e / ʔsewɢ	e / [ts]  ewk
父	a / baʔ	o / pi ̯wo	a / pjagx	a / paʔ	a / pia	a / paʔ	a / p (r) aʔ
爽	a / sraŋʔ	a / ʂi ̯aŋ	a / srjaŋx	a / sraŋʔ	a / ʃiaŋ	a / sraŋʔ	? / ?
爾	e / nhejʔ	a / ȵia	a / njarx	e / mljelʔ	a / ȵiai	e / njelʔ	ə / n  [ə][r]ʔ
牂	? / ?	ɑ / tsɑŋ	a / tsaŋ	a / skaaŋ	a / tsaŋ	a / ʔsaaŋ	? / ?
牆	a / ʒ́haŋ	a / dz'i ̯aŋ	a / dzjaŋ	a / sgaŋ	a / dziaŋ	a / zaŋ	? / ?
牙	a / ŋrā	ɔ / ŋɔ	a / ŋrag	a / ŋraa	a / ŋea	a / ŋraa	a / m- ɢˤ <r> a
牛	ə / ŋuǝ	u / ŋi ̯ug	ə / ŋwjəg	ɯ / ŋʷɯ	ə / ŋiuə	ɯ / ŋʷɯ	? / ?
牟	u / m(h)u	ʊ / mi ̯ʊg	ə / mjəgw	u / mu	u / miu	u / mu	? / ?
牡	u / m(h)(r)ūʔ	ʊ / mʊg	ə / məgwx	ɯ / mɯɯwʔ	u / myu	ɯ / mɯwʔ	u / m (r) uʔ
牢	u / rū	ʊ / lʊg	ə / ləgw	u / ruu	u / lu	u / ruu	? / ?
牧	ə / mǝk	ə / mi ̯ək	ə / mjək	ɯ / mɯɡ	ə / miək	ɯ / mɯɡ	ə / m  ək
物	ə / mhǝt	ə / mi ̯wət	ə / mjət	ɯ / mɯd	ə / miət	ɯ / mɯd	u / C. m  ut
牲	e / shreŋ	e / ʂe ̆ŋ	i / sriŋ	e / sqreeŋ	e / ʃeŋ	e / sreŋ	? / ?
特	ə / dhǝ̄k	ə / d'ək	ə / dək	ɯ / dɯɯg	ə / dək	ɯ / dɯɯg	ə / [d]ˤ  ək
犀	ə / slhǝ̄j	ə / siər	i / stid	i / sliil	e / syei	i / sliil	ə / s. lˤ  əj
犉	u / n(h)ur	ə / ȵI ̯wən	ə / njən	u / njun	ə / ȵiuən	u / njun	? / ?
犧	? / ?	a / xia	a / hŋjiar	a / ŋ̊hral	a / xiai	a / hŋral	a / ŋ̊ (r) a[j]
狁	? / ?	ə / di ̯wən	ə / rənx	u / [g]lunʔ	ə / ʎiuən	u / lunʔ	u / [l]  u[r]ʔ
狂	a / gʷaŋ	a / g'i ̯waŋ	a / gwjaŋ	a / gʷaŋ	a / giuaŋ	a / gʷaŋ	a / [k- ɢʷ]  aŋ
狃	? / ?	ʊ / ni ̯ʊg	ə / nrjəgwx	u / m-luʔ	u / niu	u / nuʔ	u / Cə. n <r> uʔ
狄	e / l(h)ēk	e / d'iek	i / dik	e / deeg	e / dyek	e / deeg	e / lˤ  ek
狐	a / g(h)ʷā	o / g'wo	a / gwag	a / gʷaa	a / ɣua	a / gʷaa	a / [g]ʷˤ  a
狩	u / tuʔs	ʊ / ɕi ̯ʊg	ə / hrjəgwh	u / qhljus	u / ɕiu	u / qhljus	u / s. t  uʔ -s
狸	ə / rhǝ	ə / li ̯əg	ə / ljəg	ɯ / [g]rɯ	ə / liə	ɯ / rɯ	ə / [r]  ə
狼	a / rāŋ	ɑ / lɑŋ	a / laŋ	a / raaŋ	a / laŋ	a / raaŋ	a / [r]ˤ  aŋ
猗	a / ʔaj	a / ʔia	a / ʔjiar	a / qal	a / iai	a / qral	? / ?
猶	u / lu	ʊ / ki ̯ʊg	ə / kjəgwh	u / klus	u / kiu	u / klus	u / [ɢ (r)] u
猷	u / lu	ʊ / di ̯ʊg	ə / rəgw	u / [g]lu	u / ʎiu	u / lu	? / ?
獄	o / ŋok	u / ŋi ̯uk	u / ŋjuk	o / ŋog	o / ŋiok	o / ŋog	o / [ŋ] r ok
獨	o / dōk	u / d'uk	u / duk	o / doog	o / dok	o / doog	o / [d]ˤ  ok
獲	a / whrāk	a / g'wa ̆k	a / gwrak	a / ɢʷraag	a / ɣoak	a / ɢʷraag	a / m- qʷˤ r ak
獵	a / rhap	a / li ̯ap	a / ljap	a / rab	a / liap	a / rab	a / r  [a]p
獻	? / ?	ɑ / sɑ	a / sar	a / sŋaal	a / sai	a / sŋaal	a / s- ŋˤ  ar
玄	i / g(h)ʷīn	a / g'iwan	a / gwian	e / gʷeen	a / ɣyuan	e / gʷeen	i / [ɢ]ʷˤ  i[n]
率	u / srut	ə / ʂi ̯wəd	ə / srjədh	u / sruds	ə / ʃiuət	u / sruds	u / [r]  ut -s
玉	o / ŋok	u / ŋi ̯uk	u / ŋjuk	o / ŋog	o / ŋiok	o / ŋog	o / [ŋ] (r) ok
王	a / whaŋ whaŋs	a / gi ̯waŋ	a / gwjaŋ	a / ɢʷaŋ	a / ɣiuaŋ	a / ɢʷaŋ	a / ɢʷ  aŋ
玖	? / ?	ə / ki ̯əg	ə / kjəgx	ɯ / kʷlɯʔ	ə / kiə	ɯ / kʷlɯʔ	? / ?
玷	e / tēmʔ	a / tiam	a / tiamx	e / k-leemʔ	a / tyam	e / teemʔ	e / tˤ  emʔ -s
玼	e / ćhejʔ	e / ts'ieg	i / tshigx	e / sheeʔ	e / tshye	e / sheeʔ	? / ?
珈	a / krāj	a / ka	a / krar	a / kraal	a / keai	a / kraal	? / ?
珌	i / pit	e / pi ̯e ̆t	i / pjit	i / plig	e / piet	i / plig	? / ?
珩	? / ?	a / g'a ̆ŋ	a / graŋ	a / graaŋ	a / ɣeaŋ	a / graaŋ	? / ?
球	u / ghu	ʊ / g'i ̯ʊg	ə / gjəgw	u / gu	u / giu	u / gu	u / [g] (r) [u]
理	ə / rǝʔ	ə / li ̯əg	ə / ljəgx	ɯ / [g]rɯʔ	ə / liə	ɯ / rɯʔ	ə / m(ə). r  əʔ
琚	a / ka	o / ki ̯o	a / kjag	a / ka	a / kia	a / ka	? / ?
琛	ə / ƛhǝm	u / thi ̯u ̆m	ə / thrjəm	u / kh-lum	ə / thiuə	u / lhum	? / ?
琴	ə / gh(r)ǝm	ə / g'i ̯əm	ə / gjiəm	ɯ / grɯm	ə / giəm	ɯ / grɯm	ə / [C. ɢ] (r) [ə]m
瑕	a / g(h)rā	ɔ / g'ɔ	a / grag	a / graa	a / ɣea	a / graa	a / [g]ˤ r a
瑟	i / srit	e / ʂi ̯e ̆t	i / srjit	i / sbrig	e / ʃiet	i / smrig	i / [s. m] r i[t]
瑤	? / ?	o / di ̯og	a / grjagw	o / [g]low	o / ʎiô	e / lew	? / ?
瑩	e / w(h)reŋ	e / gi ̯we ̆ŋ	i / gwjiŋ	e / ɢʷreŋ	e / ɣiueŋ	e / ɢʷreŋ	? / ?
瑱	i / thīns	e / t'ien	i / thinh	i / kh-liins	e / thyen	i / thiins	? / ?
瑲	? / ?	a / ts'i ̯aŋ	a / tshjaŋ	a / skhaŋ	a / tshia	a / shaŋ	? / ?
瑳	a / shāj	ɑ / ts'ɑ	a / tshar	a / skhaal	a / tshai	a / shlaal	a / tsʰˤ  arʔ
璊	ə / m(h)ǝ̄r	ə / mwən	ə / mən	u / muun	ə / muən	u / muun	u / mˤ  ur
璋	a / taŋ	a / ȶi ̯aŋ	a / tjaŋ	a / kjaŋ	a / tɕiaŋ	a / kjaŋ	a / t  aŋ
璧	e / pek	e / pi ̯e ̆k	i / pjik	e / peg	e / piek	e / peg	e / p  ek
環	e / whrēn	a / g'wan	a / gwran	a / gʷraan	a / ɣoan	a / gʷraan	e / C. ɢʷˤ <r> en
璲	? / ?	ə / dzi ̯wəd	ə / sdjədh	u / ljuds	ə / ziuət	u / ljuds	? / ?
瓚	a / ʒ(h)ānʔ	ɑ / dz'ɑn	a / dzanx	a / zaanʔ	a / dzan	a / zaanʔ	? / ?
瓜	a / kʷrā	ɔ / kwɔ	a / kwrag	a / kʷraa	a / koa	a / kʷraa	a / kʷˤ r a
瓞	? / ?	e / d'iet	i / dit	i / liig	e / dyet	i / l'iig	? / ?
瓦	o / ŋhrōjʔ	a / ŋwa	a / ŋwrarx	a / ŋʷraalʔ	a / ŋoai	a / ŋʷraalʔ	a / C. ŋʷˤ r a[j]ʔ
甓	e / bhēk	e / b'iek	i / bik	e / beeg	e / byek	e / beeg	e / [b]ˤ  ek
甘	a / kām	ɑ / kɑm	a / kam	a / kaam	a / kam	a / kaam	a / [k]ˤ  [a]m
甚	ə / d(h)ǝmʔ	u / ȡi ̯u ̆m	ə / djəmx	u / gljumʔ	ə / ʑiuəm	u / gljumʔ	ə / [t. ɢ]  [ə]mʔ -s
生	e / shrēŋ	e / ʂe ̆ŋ	i / sriŋ	e / skheeŋ	e / ʃeŋ	e / shleeŋ	e / s r eŋ
甥	e / sreŋ	e / ʂe ̆ŋ	i / sriŋ	e / sqreeŋ	e / ʃeŋ	e / sreŋ	e / s. r  eŋ
用	o / loŋs	u / di ̯uŋ	u / ruŋh	o / loŋs	o / ʎioŋ	o / loŋs	o / l  oŋ -s
甫	a / paʔ	o / pi ̯wo	a / pjagx	a / paʔ	a / pia	a / paʔ	a / p r aʔ
田	i / lhīn	e / d'ien	i / din	i / g-liiŋ	e / dyen	i / l'iiŋ	i / lˤ  iŋ
甲	a / krāp	a / kap	a / krap	a / kraab	a / keap	a / kraab	a / [k]ˤ r [a]p
申	ə / slǝn	e / ɕi ̯e ̆n	i / hrjin	i / l̥in	e / ɕien	i / hlin	i / l̥  i[n]
男	ə / nǝ̄m	u / nu ̆m	ə / nəm	o / noom	ə / niuəm	u / nuum	ə / nˤ  [ə]m
甸	i / lhīns	e / d'ien	i / dinh	i / g-liiŋs	e / dyen	i / l'iiŋs	i / lˤ  iŋ -s
畀	i / pits (~ -js)	e / pi ̯e ̆d	i / pjidh	i / pids	e / piet	i / pids	i / p  i[t] -s
界	e / krēts	a / ka ̆d	a / kriadh	e / kreeds	a / keat	e / kreeds	e / kˤ r [e][t] -s
畏	u / ʔujs	ə / ʔi ̯wər	ə / ʔwjədh	u / quls	ə / iuəi	u / quls	u / ʔ  uj -s
畛	ə / tǝrʔ	ə / ȶi ̯ən	ə / tjiən	ɯ / kljɯn	ə / tɕiən	ɯ / kljɯn	ə / t  ə[n]ʔ
畜	u / ƛhuk	ʊ / thi ̯ʊg	ə / thrjəgwh	u / rl̥ugs	u / thiuk	u / lhugs	u / qʰ  uk
畝	ə / mǝ̄ʔ	ə / məg	ə / məgx	ɯ / mɯɯʔ	ə / mə	ɯ / mɯʔ	ə / m  əʔ
畢	i / pit	e / pi ̯e ̆t	i / pjit	i / pid	e / piet	i / pid	i / p  i[t]
番	a / phar	ɑ / pɑ	a / par	a / paal	a / pai	a / paal	a / pˤ  ar
畬	a / Ła	ɔ / ɕi ̯ɔ	a / hrjiag	a / l̥a	a / ɕya	a / hljaa	? / ?
異	ə / Łǝks	ə / di ̯əg	ə / rəg	ɯ / lɯ	ə / ʎiə	ɯ / lɯ	ə / ɢ (r) ək -s
畿	ə / g(h)ǝj	ə / g'i ̯ər	ə / gjəd	ɯ / gɯl	ə / giəi	ɯ / gɯl	ə / [g]  ə[r]
疆	a / kaŋ	a / ki ̯aŋ	a / kjaŋ	a / kaŋ	a / kiaŋ	a / kaŋ	a / k  aŋ
疊	? / ?	ə / d'iəp	ə / diəp	ɯ / lɯɯb	a / dyap	ɯ / l'ɯɯb	i / lˤ  [i]p
疑	ə / ŋǝ	ə / ŋi ̯əg	ə / ŋjəg	ɯ / ŋgɯ	ə / ŋiə	ɯ / ŋɯ	ə / [ŋ] (r) ə
疚	? / ?	ə / ki ̯əg	ə / kjəgh	ɯ / kʷlɯ	ə / kiə	ɯ / kʷlɯ	? / ?
疧	? / ?	e / g'i ̯e ̆g	i / gjig	e / ge	e / gie	e / ge	? / ?
疾	i / ʒ́it	e / dz'i ̯e ̆t	i / dzjit	i / zid	e / dziet	i / zid	i / [dz]  i[t]
痒	? / ?	a / dzi ̯aŋ	a / rjaŋ	a / sɢlaŋ	a / ziaŋ	a / ljaŋ	a / [ɢ] (r) aŋ
痗	? / ?	ə / məg	ə / məgh	ɯ / mɯɯs	ə / mə	ɯ / mɯɯs	? / ?
痡	a / phā	o / p'o	a / phag	a / phaa	a / pha	a / phaa	a / pʰˤ  a
痯	a / kʷānʔ	ɑ / kwɑn	a / kuanx	o / koonʔ	a / kuan	o / koonʔ	a / kʷˤ  a[n]ʔ
瘁	u / ʒ(h)uts	ə / dz'i ̯wəd	ə / dzjədh	u / zuds	ə / dziuə	u / zuds	? / ?
瘉	o / loʔ	u / di ̯u	u / rug	o / lo	o / ʎio	o / lo	? / ?
瘏	a / d(h)ā	o / d'o	a / dag	a / g-laa	a / da	a / daa	a / [d]ˤ  a
瘞	a / ʔrats	a / ʔi ̯ad	a / ʔjiabh	e / qrebs	a / iat	e / qrebs	e / q (r) [e]p -s
瘥	a / ʒāj	ɑ / dz'ɑ	a / dzar	a / sgaal	a / dzai	a / zlaal	? / ?
瘳	? / ?	ʊ / thi ̯ʊg	ə / hljəgw	ɯ / kh-rɯw	u / thiu	ɯ / rhɯw	i / r̥  iw
瘵	e / ćrēts	a / tsa ̆d	a / tsriadh	e / skreeds	a / tʃeat	e / ʔsreeds	e / [ts](ˤ) r e[t] -s
瘼	a / māk	ɑ / mɑk	a / mak	a / maag	a / mak	a / maag	? / ?
癉	a / tārʔ	ɑ / tɑ	a / tarx	a / taalʔ	a / tai	a / taalʔ	a / tˤ  anʔ
登	ə / tǝ̄ŋ	ə / təŋ	ə / təŋ	ɯ / tɯɯŋ	ə / təŋ	ɯ / tɯɯŋ	ə / tˤ  əŋ
發	a / pat	a / pi ̯wa ̆t	a / pjat	a / pad	a / piat	a / pad	a / Cə. p  at
白	a / brāk	a / b'a ̆k	a / brak	a / braag	a / beak	a / braag	a / bˤ r ak
皁	u / ʒ(h)ūʔ	ʊ / dz'ʊg	ə / dzəgwx	u / sgluuʔ	u / dzu	u / zuuʔ	u / [dz]ˤ  uʔ
的	e / tēkʷ	o / tiok	a / tiakw	e / p-leewg	o / tyôk	e / pleewɢ	e / [t- l]ˤ  ewk
皆	ə / krǝ̄j	æ / kær	i / krid	i / krii	e / kei	i / kriil	i / kˤ r ij
皇	a / w(h)āŋ	ɑ / g'wɑŋ	a / gwaŋ	a / gʷaaŋ	a / ɣuaŋ	a / gʷaaŋ	a / [ɢ]ʷˤ  aŋ
皋	u / kū	ʊ / kʊg	ə / kəgw	u / kuu	u / ku	u / kuu	u / [k]ˤ  u
皎	? / ?	o / kiog	a / kiagwx	e / keewʔ	o / kyô	e / keewʔ	? / ?
皓	? / ?	ʊ / g'ʊg	ə / gəgwx	u / guuʔ	u / ɣu	u / guuʔ	? / ?
皙	e / sēk	e / siek	i / sik	e / sleeg	e / syek	e / seeg	? / ?
皮	a / bhaj	a / b'ia	a / bjiar	a / bal	a / biai	a / bral	a / m- [p] (r) aj
盈	e / leŋ	e / di ̯e ̆ŋ	i / riŋ	e / leŋ	e / ʎieŋ	e / leŋ	e / l  eŋ
益	e / ʔek	e / ʔi ̯e ̆k	i / ʔjik	e / qleg	e / iek	e / qleg	i / q  [i]k
盛	e / deŋ	e / ȡi ̯e ̆ŋ	i / djiŋ	e / djeŋ	e / ʑieŋ	e / djeŋ	e / [d]  eŋ -s
盜	a / d(h)āws	o / d'og	a / dagwh	a / daaws	o / dô	a / daaws	a / [d]ˤ  aw(k) -s
盟	a / mraŋ	a / mi ̯a ̆ŋ	a / mjiaŋ	a / mraŋ	a / myaŋ	a / mraŋ	a / m r aŋ
盡	i / ʒinʔ	e / tsi ̯e ̆n	i / tsjinx	i / stinʔ	e / tsien	i / ʔslinʔ	i / ts  i[n]ʔ
監	a / krām	a / kam	a / kram	a / kraam	a / keam	a / kraam	a / kˤ r am -s
盬	a / kāʔ	o / ko	a / kag	a / kaa	a / ka	a / kaa	? / ?
目	u / mhuk	ʊ / mi ̯ʊk	ə / mjəkw	u / mug	u / miuk	u / mug	u / C. m (r) [u]k
盱	a / swa	o / xi ̯wo	a / hwjag	a / qhʷa	a / xiua	a / qhʷa	? / ?
直	ə / d(h)rǝk	ə / d'i ̯ək	ə / drjək	ɯ / dɯɡ	ə / diək	ɯ / dɯɡ	ə / N- t <r> ək
相	a / saŋ	a / si ̯aŋ	a / sjaŋ	a / slaŋ	a / siaŋ	a / slaŋ	a / [s]  aŋ
盼	ə / phrǝ̄ns	æ / p'æn	ə / phrənh	ɯ / phrɯɯns	e / pheən	ɯ / phrɯɯns	? / ?
眉	ə / mrǝj	æ / mi ̯ær	i / mjid	i / mril	e / miei	i / mril	ə / m r [ə][r]
睘	? / ?	e / g'i ̯we ̆ŋ	i / gwjiŋ	e / gʷeŋ	e / giueŋ	e / gʷeŋ	e / [ɢ]ʷˤ <r> en
瞻	a / tam	a / ȶi ̯am	a / tjam	a / kljam	a / tɕiam	a / tjam	a / [t. q]  am
瞽	a / kāʔ	o / kwo	a / kwagx	a / kʷaaʔ	a / kua	a / kʷaaʔ	a / [k]ˤ  aʔ
瞿	a / kʷas	o / ki ̯wo	a / kwjagh	a / kʷas	a / kiua	a / kʷas	a / [g]ʷ (r) a
矛	u / mu	ʊ / mi ̯ʊg	ə / mjəgw	u / mu	u / miu	u / mu	u / m (r) u
矜	i / kriŋ	æ / g'i ̯æn	ə / gjiən	ɯ / grɯn	e / geən	ɯ / grɯn	i / k- r  iŋ
矢	i / ƛhijʔ	æ / ɕi ̯ær	i / hrjidx	i / qhliʔ	e / ɕiei	i / hliʔ	i / l̥  i[j]ʔ
矣	ə / hǝʔ	ə / gi ̯əg	ə / gwjəgx	ɯ / ɢɯʔ	ə / ɣiə	ɯ / ɢlɯʔ	ə / q  əʔ
知	e / tre	e / ti ̯e ̆g	i / trjig	e / k-le	e / tie	e / ʔl'e	e / t r e
石	a / diak	a / ȡi ̯ag	a / djiak	a / gljag	a / ʑyak	a / djag	a / d  Ak
砠	a / ćha	o / ts'i ̯o	a / tshjag	a / skha	a / tshia	a / sha	a / [tsʰ]  a
砥	ə / tǝjʔ	a / ȶia	a / tjarx	e / tjelʔ	a / tɕiai	e / tjelʔ	i / t  ijʔ
破	? / ?	ɑ / p'ɑ	a / pharh	a / phaals	a / phai	a / phaals	a / pʰˤ  aj -s
碩	a / d(h)iak	a / ȡi ̯ag	a / djiak	a / gljag	a / ʑyak	a / djag	a / [d]  Ak
磋	a / shāj	ɑ / ts'ɑ	a / tshar	a / skhaal	a / tshai	a / shlaal	a / [tsʰ]ˤ  aj
磨	a / māj	ɑ / mɑ	a / mar	a / maal	a / mai	a / maal	a / mˤ  aj -s
祀	ə / lhǝʔ	ə / dzi ̯əg	ə / rjəgx	ɯ / sɢlɯʔ	ə / ziə	ɯ / ljɯʔ	ə / s- [ɢ]  əʔ
祁	i / gij	æ / g'i ̯ær	i / gjid	i / gril	e / giei	i / gril	i / [g] r ij
祇	e / g(h)e	e / g'i ̯e ̆g	i / gjig	e / ge	e / gie	e / ge	e / [k. d]  e
祉	ə / thrǝʔ	ə / thi ̯əg	ə / thrjəgx	ɯ / kh-lɯʔ	ə / thiə	ɯ / khl'ɯʔ	ə / [tʰ] r əʔ
祊	a / prāŋ	a / pa ̆ŋ	a / praŋ	a / praaŋ	a / peaŋ	a / praaŋ	a / pˤ r aŋ
祋	o / tōts	ɑ / twɑt	a / tuat	o / tood	a / tuat	o / tood	? / ?
祖	a / ćāʔ	o / tso	a / tsagx	a / skaaʔ	a / tsa	a / ʔsaaʔ	a / [ts]ˤ  aʔ
祗	i / tij (~ -ǝj)	æ / ȶi ̯ær	i / tjid	i / tjil	e / tɕiei	i / tjil	? / ?
祛	? / ?	o / k'i ̯o	a / khjag	a / kha	a / khia	a / kha	? / ?
祜	a / g(h)āʔ	o / g'o	a / gagx	a / gaaʔ	a / ɣa	a / gaaʔ	a / [g]ˤ  aʔ
祝	u / tuk	ʊ / ȶi ̯ʊg	ə / tjəgwh	u / tjugs	u / tɕiuk	u / tjugs	u / [t]  uk
神	ə / lǝn	e / ȡʻi ̯e ̆n	i / djin	i / l̥in	e / dʑien	i / hlin	i / Cə. l  i[n]
祥	a / lhaŋ	a / dzi ̯aŋ	a / rjaŋ	a / sɢlaŋ	a / ziaŋ	a / ljaŋ	a / s. ɢ  aŋ
祺	ə / g(h)ǝ	ə / g'i ̯əg	ə / gjəg	ɯ / gɯ	ə / giə	ɯ / gɯ	? / ?
祿	o / rōk	u / luk	u / luk	o / roog	o / lok	o / roog	o / [r]ˤ  ok
禋	? / ?	e / ʔi ̯e ̆n	i / ʔjin	i / qin	e / ien	i / qin	i / [q]  i[n]
禍	a / ghʷājʔ	ɑ / g'wɑ	a / guarx	o / gloolʔ	a / ɣuai	o / gloolʔ	a / [g]ʷˤ  ajʔ
禎	? / ?	e / ti ̯e ̆ŋ	i / trjiŋ	e / rteŋ	e / tieŋ	e / teŋ	? / ?
福	ə / pǝk	ə / pi ̯ək	ə / pjək	ɯ / pɯɡ	ə / piək	ɯ / pɯɡ	ə / p  ək
禡	a / mhrā(ʔ)s	ɔ / mɔ	a / mragh	a / mraas	a / mea	a / mraas	? / ?
禦	a / ŋ(h)(r)aʔ	o / ŋi ̯o	a / ŋjagx	a / ŋaʔ	a / ŋia	a / ŋaʔ	a / m- qʰ (r) aʔ
禮	i / rījʔ	ə / liər	i / lidx	i / riiʔ	e / lyei	i / riiʔ	i / [r]ˤ  ijʔ
禰	e / n(h)ējʔ	ə / niər	i / nidx	i / m-liilʔ	e / nyei	i / niilʔ	? / ?
禱	u / tūʔ	ʊ / tʊg	ə / təgwx	u / tuuʔ	u / tu	u / tuuʔ	u / [t]ˤ  uʔ
秀	u / slhuʔs	ʊ / si ̯ʊg	ə / skjəgwh	u / l̥jus	u / siu	u / slus	u / [s- l]  u(ʔ) -s
私	ə / sǝj	æ / si ̯ær	i / sjid	i / l̥jil	e / siei	i / sil	ə / [s]  əj
秉	a / praŋʔ	a / pi ̯a ̆ŋ	a / pjiaŋx	a / praŋʔ	a / pyaŋ	a / praŋʔ	a / p r aŋʔ
秋	i / ćhiw	ʊ / ts'i ̯ʊg	ə / tshjəgw	ɯ / shɯw	u / tshiu	ɯ / shɯw	i / tsʰ  iw
租	a / ćā	o / tso	a / tsag	a / skaa	a / tsa	a / ʔsaa	? / ?
秠	? / ?	ə / p'i ̯wəg	ə / phjiəg	ɯ / phrɯ	ə / phiə	ɯ / phrɯ	? / ?
秣	a / mhāt	a / mat	a / mat	a / maad	a / mat	a / maad	? / ?
秩	i / Łhit	e / d'i ̯e ̆t	i / drjit	i / rlig	e / diet	i / l'ig	? / ?
秬	a / g(h)aʔ	o / g'i ̯o	a / gjagx	a / gaʔ	a / gia	a / gaʔ	? / ?
秭	? / ?	æ / tsi ̯ær	i / tsjidx	i / skiʔ	e / tsiei	i / ʔsiʔ	i / [ts]  [i]jʔ
稂	? / ?	ɑ / lɑŋ	a / laŋ	a / raaŋ	a / laŋ	a / raaŋ	a / [r]ˤ  aŋ
程	? / ?	e / d'i ̯e ̆ŋ	i / drjiŋ	e / rleŋ	e / dieŋ	e / rleŋ	e / (C.) l r eŋ
稌	? / ?	o / t'o	a / thag	a / l̥aa	a / tha	a / lhaa	a / l̥ˤ  a
種	o / toŋʔ toŋʔs	ʊ / d'i ̯ʊŋ	ə / drjəŋw	u / duŋ	ə / diuəm	u / duŋ	o / k. t  oŋʔ
稷	ə / cǝk	ə / tsi ̯ək	ə / tsjək	ɯ / sklɯɡ	ə / tsiək	ɯ / sklɯɡ	ə / [ts]  ək
稻	u / lhūʔ (~ Łh-)	ʊ / d'ʊg	ə / dəgwx	u / luuʔ	u / du	u / l'uuʔ	u / [l]ˤ  uʔ
稼	? / ?	ɔ / kɔ	a / kragh	a / kraas	a / kea	a / kraas	a / kˤ r a -s
穀	o / kōk	u / kuk	u / kuk	o / koog	o / kok	o / kloog	o / [k]ˤ  ok
穆	i / m(h)ikʷ	ʊ / mi ̯ʊk	ə / mjəkw	u / mug	u / miuk	u / mug	i / m (r) iwk
穋	? / ?	ʊ / li ̯ʊk	ə / ljəkw	i / [g]riwg	u / liuk	ɯ / rɯwɢ	? / ?
積	? / ?	e / tsi ̯e ̆g	i / tsjigh	e / skegs	e / tsiek	e / ʔsegs	e / [ts]  ek
穗	? / ?	æ / dzi ̯wæd	i / sgwjidh	i / sɢʷids	e / ziuet	i / sɢʷids	i / s. [ɢ]ʷ  i[t] -s
