HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
均	i / kʷin	e / ki ̯we ̆n	i / kwjin	i / kʷin	e / kiuen	i / kʷin	i / [m- qʷ] <r> i[n] -s
坻	? / ?	ə / tiər	i / tidx	i / tiilʔ	e / tyei	i / tiilʔ	i / [d] r ij
垂	o / d(h)oj	a / ȡwia	a / djar	o / djol	a / ʑiuai	o / djol	o / [d]  o[j]
垢	o / kōʔ	u / ku	u / kugx	o / kooʔ	o / ko	o / kooʔ	? / ?
垣	a / w(h)ar	a / gi ̯wa ̆n	a / gwjan	o / ɢon	a / ɣiuan	a / ɢʷan	a / [ɢ]ʷ  ar
垤	? / ?	e / d'iet	i / dit	i / diig	e / dyet	i / diig	i / [d]ˤ  i[t]
城	e / d(h)eŋ	e / ȡi ̯e ̆ŋ	i / djiŋ	e / djeŋ	e / ʑieŋ	e / djeŋ	e / [d]  eŋ
域	ə / whǝk	ə / gi ̯wək	ə / gwjək	ɯ / ɢʷrɯɡ	ə / ɣiuə̆k	ɯ / ɢʷrɯɡ	ə / [ɢ]ʷ r ək
基	ə / kǝ	ə / ki ̯əg	ə / kjəg	ɯ / kɯ	ə / kiə	ɯ / kɯ	ə / k (r) ə
埽	u / sūʔ	ʊ / sʊg	ə / stəgwx	u / sbluuʔ	u / su	u / suuʔ	? / ?
堂	a / dāŋ	ɑ / d'ɑŋ	a / daŋ	a / g-laaŋ	a / daŋ	a / daaŋ	a / [d]ˤ  aŋ
堅	i / kīn	e / kien	i / kin	i / kiin	e / kyen	i / kiin	i / kˤ  i[ŋ]
報	? / ?	ʊ / pʊg	ə / pəgwh	u / puugs	u / puk	u / puugs	u / pˤ  uk -s
場	? / ?	a / d'i ̯aŋ	a / drjaŋ	a / rlaŋ	a / diaŋ	a / l'aŋ	a / [l] r aŋ
堵	a / tāʔ	ɔ / ȶi ̯ɔ	a / tjiagx	a / kljaʔ	a / tɕya	a / tjaaʔ	a / tˤ  aʔ
塈	ə / g(h)rǝts (~ -ps, ~ -js)	æ / g'i ̯æd	ə / gjiədh	ɯ / grɯds	ə / giət	ɯ / grɯds	ə / qʰ  ə[t] -s
塒	? / ?	ə / ȡi ̯əg	ə / djəg	ɯ / djɯ	ə / ʑiə	ɯ / djɯ	? / ?
塗	a / Łhā	ɔ / d'ɔ	a / drag	a / rlaa	a / dea	a / rlaa	a / lˤ  a
塞	ə / sǝ̄k	ə / səg	ə / səgh	ɯ / l̥jɯɯgs	ə / sək	ɯ / slɯɯgs	ə / [s]ˤ  ək
填	i / d(h)īnʔ	e / d'ien	i / din	i / g-liin	e / dyen	i / diin	i / [d]ˤ  i[n]
塵	ə / drǝn	ə / d'i ̯ən	ə / drjiən	ɯ / rlɯn	ə / diən	ɯ / rdɯn	ə / [d] r ə[n]
墉	o / Łoŋ	u / di ̯uŋ	u / ruŋ	o / loŋ	o / ʎioŋ	o / loŋ	? / ?
